pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
57873,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631724750CE,CE,NIFTY17MAR2624750.00CE,,26000,,,,,,5,65,1458225000,-1,2,2475000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,555.0,Cash,,0,1,1801.0,65,1353300.0,2555.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58142,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631727350CE,CE,NIFTY17MAR2627350.00CE,,26000,,,,,,5,65,1458225000,-1,2,2735000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,70.0,Cash,,0,1,1801.0,65,66885.0,2070.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58002,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631726300PE,PE,NIFTY17MAR2626300.00PE,,26000,,,,,,5,65,1458225000,-1,2,2630000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,314600.0,Cash,,0,1,1801.0,65,23270.0,369530.0,259670.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57622,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631721800CE,CE,NIFTY17MAR2621800.00CE,,26000,,,,,,5,65,1458225000,-1,2,2180000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,133500.0,Cash,,0,1,1801.0,65,65.0,188425.0,78575.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58104,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631726900PE,PE,NIFTY17MAR2626900.00PE,,26000,,,,,,5,65,1458225000,-1,2,2690000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,373870.0,Cash,,0,1,1801.0,65,0.0,428800.0,318940.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58206,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631728350PE,PE,NIFTY17MAR2628350.00PE,,26000,,,,,,5,65,1458225000,-1,2,2835000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,518815.0,Cash,,1,1,1801.0,65,0.0,573745.0,463885.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58228,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631728800PE,PE,NIFTY17MAR2628800.00PE,,26000,,,,,,5,65,1458225000,-1,2,2880000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,562700.0,Cash,,1,1,1801.0,65,0.0,617630.0,507770.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58138,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631727250CE,CE,NIFTY17MAR2627250.00CE,,26000,,,,,,5,65,1458225000,-1,2,2725000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,75.0,Cash,,0,1,1801.0,65,48945.0,2075.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
59396,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631718200PE,PE,NIFTY17MAR2618200.00PE,,26000,,,,,,5,65,1458225000,-1,2,1820000.0,NSE,OPTIDX,1458225000,1458086400,1458225000,1458086400,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
59384,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631717900PE,PE,NIFTY17MAR2617900.00PE,,26000,,,,,,5,65,1458225000,-1,2,1790000.0,NSE,OPTIDX,1458225000,1458086400,1458225000,1458086400,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
