pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
856570,,bse_fo,IO,SENSEX,SENSEX2631983800PE,PE,SENSEX19MAR2683800.00PE,,1,,,SENSEX2631983800PE,,,5,20,1773944999,1,2,8380000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,1155210.0,676880.0,1,1,1,0,0,1,0,-1,1,0,1000
854496,,bse_fo,IO,SENSEX,SENSEX2631987600PE,PE,SENSEX19MAR2687600.00PE,,1,,,SENSEX2631987600PE,,,5,20,1773944999,1,2,8760000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,1534850.0,1056520.0,1,1,1,0,0,1,0,-1,1,0,1000
854714,,bse_fo,IO,SENSEX,SENSEX2631982200PE,PE,SENSEX19MAR2682200.00PE,,1,,,SENSEX2631982200PE,,,5,20,1773944999,1,2,8220000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,100,995480.0,517150.0,1,1,1,0,0,1,0,-1,1,0,1000
860330,,bse_fo,IO,SENSEX,SENSEX2631992700CE,CE,SENSEX19MAR2692700.00CE,,1,,,SENSEX2631992700CE,,,5,20,1773944999,1,2,9270000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,1040,2005.0,5.0,1,1,1,0,0,1,0,-1,1,0,1000
851076,,bse_fo,IO,SENSEX,SENSEX2631976300PE,PE,SENSEX19MAR2676300.00PE,,1,,,SENSEX2631976300PE,,,5,20,1773944999,1,2,7630000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,19780,411620.0,480.0,1,1,1,0,0,1,0,-1,1,0,1000
883281,,bse_fo,IO,SENSEX,SENSEX2631968500PE,PE,SENSEX19MAR2668500.00PE,,1,,,SENSEX2631968500PE,,,5,20,1773944999,1,2,6850000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,150820,7650.0,7055.0,1,1,1,0,0,1,0,-1,1,0,1000
858238,,bse_fo,IO,SENSEX,SENSEX2631971200PE,PE,SENSEX19MAR2671200.00PE,,1,,,SENSEX2631971200PE,,,5,20,1773944999,1,2,7120000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,46040,25470.0,22000.0,1,1,1,0,0,1,0,-1,1,0,1000
860194,,bse_fo,IO,SENSEX,SENSEX2631993000PE,PE,SENSEX19MAR2693000.00PE,,1,,,SENSEX2631993000PE,,,5,20,1773944999,1,2,9300000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,1,1,0.0,20,0,2074360.0,1596040.0,1,1,1,0,0,1,0,-1,1,0,1000
854814,,bse_fo,IO,SENSEX,SENSEX2631981500CE,CE,SENSEX19MAR2681500.00CE,,1,,,SENSEX2631981500CE,,,5,20,1773944999,1,2,8150000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,101320,2065.0,1470.0,1,1,1,0,0,1,0,-1,1,0,1000
849403,,bse_fo,IO,SENSEX,SENSEX2631981900PE,PE,SENSEX19MAR2681900.00PE,,1,,,SENSEX2631981900PE,,,5,20,1773944999,1,2,8190000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,965575.0,487245.0,1,1,1,0,0,1,0,-1,1,0,1000
852529,,bse_fo,IO,SENSEX,SENSEX2631992000CE,CE,SENSEX19MAR2692000.00CE,,1,,,SENSEX2631992000CE,,,5,20,1773944999,1,2,9200000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,8460,2005.0,5.0,1,1,1,0,0,1,0,-1,1,0,1000
863016,,bse_fo,IO,SENSEX,SENSEX2631993700PE,PE,SENSEX19MAR2693700.00PE,,1,,,SENSEX2631993700PE,,,5,20,1773944999,1,2,9370000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,1,1,0.0,20,0,2144300.0,1665970.0,1,1,1,0,0,1,0,-1,1,0,1000
880132,,bse_fo,IO,SENSEX,SENSEX2631969900PE,PE,SENSEX19MAR2669900.00PE,,1,,,SENSEX2631969900PE,,,5,20,1773944999,1,2,6990000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,8560,13830.0,13235.0,1,1,1,0,0,1,0,-1,1,0,1000
854202,,bse_fo,IO,SENSEX,SENSEX2631984300PE,PE,SENSEX19MAR2684300.00PE,,1,,,SENSEX2631984300PE,,,5,20,1773944999,1,2,8430000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,1205160.0,726830.0,1,1,1,0,0,1,0,-1,1,0,1000
849887,,bse_fo,IO,SENSEX,SENSEX2631983500PE,PE,SENSEX19MAR2683500.00PE,,1,,,SENSEX2631983500PE,,,5,20,1773944999,1,2,8350000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,1100,1125250.0,646920.0,1,1,1,0,0,1,0,-1,1,0,1000
853661,,bse_fo,IO,SENSEX,SENSEX2631977100CE,CE,SENSEX19MAR2677100.00CE,,1,,,SENSEX2631977100CE,,,5,20,1773944999,1,2,7710000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,49080,36295.0,10575.0,1,1,1,0,0,1,0,-1,1,0,1000
853274,,bse_fo,IO,SENSEX,SENSEX2631990200PE,PE,SENSEX19MAR2690200.00PE,,1,,,SENSEX2631990200PE,,,5,20,1773944999,1,2,9020000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,1794620.0,1316280.0,1,1,1,0,0,1,0,-1,1,0,1000
885147,,bse_fo,IO,SENSEX,SENSEX2631966100CE,CE,SENSEX19MAR2666100.00CE,,1,,,SENSEX2631966100CE,,,5,20,1773944999,1,2,6610000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,1,1,0.0,20,0,1088540.0,610215.0,1,1,1,0,0,1,0,-1,1,0,1000
849580,,bse_fo,IO,SENSEX,SENSEX2631978900PE,PE,SENSEX19MAR2678900.00PE,,1,,,SENSEX2631978900PE,,,5,20,1773944999,1,2,7890000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,2740,611520.0,134470.0,1,1,1,0,0,1,0,-1,1,0,1000
882210,,bse_fo,IO,SENSEX,SENSEX2631968600PE,PE,SENSEX19MAR2668600.00PE,,1,,,SENSEX2631968600PE,,,5,20,1773944999,1,2,6860000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,2005.0,140.0,1,1,1,0,0,1,0,-1,1,0,1000
851808,,bse_fo,IO,SENSEX,SENSEX2631990500PE,PE,SENSEX19MAR2690500.00PE,,1,,,SENSEX2631990500PE,,,5,20,1773944999,1,2,9050000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,1824590.0,1346260.0,1,1,1,0,0,1,0,-1,1,0,1000
853796,,bse_fo,IO,SENSEX,SENSEX2631990400PE,PE,SENSEX19MAR2690400.00PE,,1,,,SENSEX2631990400PE,,,5,20,1773944999,1,2,9040000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,1814600.0,1336270.0,1,1,1,0,0,1,0,-1,1,0,1000
859160,,bse_fo,IO,SENSEX,SENSEX2631971600PE,PE,SENSEX19MAR2671600.00PE,,1,,,SENSEX2631971600PE,,,5,20,1773944999,1,2,7160000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,17540,31565.0,24185.0,1,1,1,0,0,1,0,-1,1,0,1000
849241,,bse_fo,IO,SENSEX,SENSEX2631991600CE,CE,SENSEX19MAR2691600.00CE,,1,,,SENSEX2631991600CE,,,5,20,1773944999,1,2,9160000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,500,2005.0,5.0,1,1,1,0,0,1,0,-1,1,0,1000
886634,,bse_fo,IO,SENSEX,SENSEX2631966400CE,CE,SENSEX19MAR2666400.00CE,,1,,,SENSEX2631966400CE,,,5,20,1773944999,1,2,6640000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,1,1,0.0,20,0,1058560.0,580225.0,1,1,1,0,0,1,0,-1,1,0,1000
856007,,bse_fo,IO,SENSEX,SENSEX2631976600CE,CE,SENSEX19MAR2676600.00CE,,1,,,SENSEX2631976600CE,,,5,20,1773944999,1,2,7660000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,42860,55580.0,7460.0,1,1,1,0,0,1,0,-1,1,0,1000
853787,,bse_fo,IO,SENSEX,SENSEX2631985700CE,CE,SENSEX19MAR2685700.00CE,,1,,,SENSEX2631985700CE,,,5,20,1773944999,1,2,8570000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,40,2005.0,170.0,1,1,1,0,0,1,0,-1,1,0,1000
860598,,bse_fo,IO,SENSEX,SENSEX2631992900PE,PE,SENSEX19MAR2692900.00PE,,1,,,SENSEX2631992900PE,,,5,20,1773944999,1,2,9290000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,1,1,0.0,20,0,2064380.0,1586040.0,1,1,1,0,0,1,0,-1,1,0,1000
856310,,bse_fo,IO,SENSEX,SENSEX2631985800CE,CE,SENSEX19MAR2685800.00CE,,1,,,SENSEX2631985800CE,,,5,20,1773944999,1,2,8580000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,400,2005.0,190.0,1,1,1,0,0,1,0,-1,1,0,1000
883767,,bse_fo,IO,SENSEX,SENSEX2631967600CE,CE,SENSEX19MAR2667600.00CE,,1,,,SENSEX2631967600CE,,,5,20,1773944999,1,2,6760000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,941760.0,463430.0,1,1,1,0,0,1,0,-1,1,0,1000
881515,,bse_fo,IO,SENSEX,SENSEX2631969400CE,CE,SENSEX19MAR2669400.00CE,,1,,,SENSEX2631969400CE,,,5,20,1773944999,1,2,6940000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,763045.0,284760.0,1,1,1,0,0,1,0,-1,1,0,1000
860447,,bse_fo,IO,SENSEX,SENSEX2631992200CE,CE,SENSEX19MAR2692200.00CE,,1,,,SENSEX2631992200CE,,,5,20,1773944999,1,2,9220000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,280,2005.0,5.0,1,1,1,0,0,1,0,-1,1,0,1000
879215,,bse_fo,IO,SENSEX,SENSEX2631970500CE,CE,SENSEX19MAR2670500.00CE,,1,,,SENSEX2631970500CE,,,5,20,1773944999,1,2,7050000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,1820,664900.0,187340.0,1,1,1,0,0,1,0,-1,1,0,1000
855383,,bse_fo,IO,SENSEX,SENSEX2631979400PE,PE,SENSEX19MAR2679400.00PE,,1,,,SENSEX2631979400PE,,,5,20,1773944999,1,2,7940000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,2140,694930.0,217060.0,1,1,1,0,0,1,0,-1,1,0,1000
858810,,bse_fo,IO,SENSEX,SENSEX2631971600CE,CE,SENSEX19MAR2671600.00CE,,1,,,SENSEX2631971600CE,,,5,20,1773944999,1,2,7160000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,550800.0,79860.0,1,1,1,0,0,1,0,-1,1,0,1000
